date,close,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2021-11-08,58.78226,0.0,23.059172840118407,0.0,0.0,10000,0,0,10000,0.0,0.0,0.69402146,0.114370465,0.0,1.120462452020312
2021-11-09,65.23436,0.0,24.096912059783936,0.0,0.0,10000,0,0,10000,0.0,0.0,0.8799618,0.10976267,0.0,1.326875812908253
2021-11-10,71.76128,0.0,25.263510990142823,0.0,0.0,10000,0,0,10000,0.0,0.0,1.0680583,0.10005331,0.0,1.5186543862239497
2021-11-11,77.8972,0.0,26.550697212219237,0.0,0.0,10000,0,0,10000,0.0,0.0,1.2448869,0.08550465,0.0,1.6909693397462053
2021-11-12,83.27322,0.0,27.94256383895874,0.0,0.0,10000,0,0,10000,0.0,0.0,1.399816,0.06901419,0.0,1.8390188975230672
2021-11-15,87.56167,0.0,29.416603717803955,0.0,0.0,10000,0,0,10000,0.0,0.0,1.5234032,0.051498532,0.0,1.9608070102720572
2021-11-16,90.5183,0.0,30.94547790527344,0.0,0.0,10000,0,0,10000,0.0,0.0,1.6086092,0.03376627,0.0,2.0542899899227884
2021-11-17,92.07477,0.0,32.50040832519531,0.0,0.0,10000,0,0,10000,0.0,0.0,1.6534643,0.017194986,0.0,2.1176038400939996
2021-11-18,92.351074,0.0,34.054955081939696,0.0,0.0,10000,0,0,10000,0.0,0.0,1.661427,0.0030008554,0.0,2.150768123062846
2021-11-19,91.54006,0.0,35.58653913497925,0.0,0.0,10000,0,0,10000,0.0,0.0,1.6380548,-0.00878185,0.0,2.1563910414571725
2021-11-22,89.90408,0.0,37.0780590057373,0.0,0.0,10000,0,0,10000,0.0,0.0,1.5909083,-0.017871737,0.0,2.1379488375825706
2021-11-23,87.75358,0.0,38.51901119232178,0.0,0.0,10000,0,0,10000,0.0,0.0,1.5289338,-0.02392,0.0,2.1003127953087564
2021-11-24,85.31694,0.0,39.90371402740479,0.0,0.0,10000,0,0,10000,0.0,0.0,1.4587133,-0.027766824,0.0,2.049773646205621
2021-11-26,82.74477,0.0,41.22971408843994,0.0,0.0,10000,0,0,10000,0.0,0.0,1.3845869,-0.030148447,0.0,1.991151326144011
2021-11-29,80.13345,0.0,42.496640319824216,0.0,0.0,10000,0,0,10000,0.0,0.0,1.3093325,-0.031558633,0.0,1.927741081682683
2021-11-30,77.563194,0.0,43.70563503265381,0.0,0.0,10000,0,0,10000,0.0,0.0,1.2352613,-0.03207475,0.0,1.861745432899863
2021-12-01,75.12812,0.0,44.859847450256346,0.0,0.0,10000,0,0,10000,0.0,0.0,1.1650859,-0.03139472,0.0,1.7951535302928063
2021-12-02,72.87518,0.0,45.96357875823975,0.0,0.0,10000,0,0,10000,0.0,0.0,1.1001595,-0.029987931,0.0,1.7305399525150145
2021-12-03,70.792465,0.0,47.02095626831055,0.0,0.0,10000,0,0,10000,0.0,0.0,1.0401385,-0.028579235,0.0,1.669384524302145
2021-12-06,68.80661,0.0,48.034594955444334,0.0,0.0,10000,0,0,10000,0.0,0.0,0.98290896,-0.028051794,0.0,1.6115909992410806
2021-12-07,66.79996,0.0,49.00452339172363,0.0,0.0,10000,0,0,10000,0.0,0.0,0.92508006,-0.029163659,0.0,1.555242201472589
