date,open,high,low,close,volume,market_cap,signal,short_ema,long_ema,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2021-07-01,35045.0,35057.57,32711.0,33504.69,71708.266112,71708.266112,0.0,38680.77141364823,39990.749279441756,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.6291908578856154,-0.043952346982451096,0.9994619303354217,2.1161489638704696
2021-07-02,33502.33,33977.04,32699.0,33786.55,56172.181378,56172.181378,0.0,38488.841162132616,39929.01595327816,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.659721620450607,0.008412553585781524,0.9994619343709665,2.0550776948318568
2021-07-03,33786.54,34945.61,33316.73,34669.13,43044.578641,43044.578641,0.0,38339.04856753918,39876.6787796137,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.7553217071057188,0.026122229111880113,0.9994619383844596,2.0659503057992454
2021-07-04,34669.12,35967.85,34357.15,35286.51,43703.475789,43703.475789,0.0,38219.34117273373,39831.00545842352,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.8221956239168113,0.017807773082278322,0.9994619423760802,2.0989500216585157
2021-07-05,35288.13,35293.78,33125.55,33690.14,64123.874245,64123.874245,0.0,38041.725440469665,39769.902319533736,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.649278596187175,-0.04524023486595874,0.9994619463460082,2.1216891957434654
2021-07-06,33690.15,35118.88,33532.0,34220.01,58210.596349,58210.596349,0.0,37891.85424672576,39714.67951038415,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.706673526863085,0.01572774705002722,0.9994619502944179,2.058894040402525
2021-07-07,34220.02,35059.09,33777.77,33862.12,53807.521675,53807.521675,0.0,37733.82545273651,39656.44508739525,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.667907279029463,-0.010458500742694055,0.9994619542214859,2.078988803638966
2021-07-08,33862.11,33929.64,32077.0,32875.71,70136.48032,70136.48032,0.0,37543.31112125665,39588.97508652565,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.5610604419410743,-0.02913019031295161,0.9994619581273824,2.0651129295000485
2021-07-09,32875.71,34100.0,32261.07,33815.81,47153.939899,47153.939899,0.0,37397.13460669757,39531.530657804,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.6628910311958403,0.028595580141082877,0.9994619620122813,2.0256215209177344
2021-07-10,33815.81,34262.0,33004.78,33502.87,34761.175468,34761.175468,0.0,37244.41834761138,39471.54398459203,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.628993717504333,-0.009254251191971874,0.9994619658763483,2.0614972805927416
2021-07-11,33502.87,34666.0,33306.47,34258.99,31572.647448,31572.647448,0.0,37127.34272613643,39419.677775790115,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.710895797227036,0.022568812761414092,0.9994619697197525,2.049260775840316
2021-07-12,34259.0,34678.43,32658.34,33086.63,48181.403762,48181.403762,0.0,36968.883403542844,39356.66237503599,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.5839070623916807,-0.03422050679252364,0.9994619735426589,2.0777831368827226
2021-07-13,33086.94,33340.0,32202.25,32729.77,41126.361008,41126.361008,0.0,36802.64366222744,39290.72314742369,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.545252383015598,-0.010785625492834905,0.9994619773452292,2.031186474340524
2021-07-14,32729.12,33114.03,31550.0,32820.02,46777.823484,46777.823484,0.0,36646.46234214009,39226.338041479175,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.5550281629116114,0.002757428481776625,0.9994619811276289,2.016935453654095
2021-07-15,32820.03,33185.25,31133.0,31880.0,51639.576353,51639.576353,0.0,36459.54225029146,39153.24015051919,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.453206239168111,-0.02864166444749261,0.9994619848900148,2.020488105876999
2021-07-16,31874.49,32249.18,31020.0,31383.87,48499.864154,48499.864154,0.0,36260.49627969179,39075.93298484239,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.3994659878682842,-0.015562421580928465,0.9994619886325463,1.9818698083821191
2021-07-17,31383.86,31955.92,31164.31,31520.07,34012.242132,34012.242132,0.0,36074.597209899955,39000.7502685753,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.414219020797227,0.004339808952815494,0.9994619923553802,1.9612415235607374
2021-07-18,31520.07,32435.0,31108.97,31778.56,35923.716186,35923.716186,0.0,35906.1251624529,38928.88767883823,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.4422183708838823,0.008200806660645155,0.9994619960586726,1.9668267551747425
2021-07-19,31778.57,31899.0,30407.44,30839.65,47340.468499,47340.468499,0.0,35707.43986196456,38848.39775168562,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.3405166811091855,-0.02954539160994074,0.9994619997425753,1.9773465980663598
2021-07-20,30839.65,31063.07,29278.0,29790.35,61034.049017,61034.049017,0.0,35475.397122279675,38758.26792331064,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.2268576689774697,-0.034024380951145794,0.9994620034072405,1.937571864636597
2021-07-21,29790.34,32858.0,29482.61,32144.51,82796.265128,82796.265128,0.0,35344.77409787655,38692.45938676028,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.4818576689774696,0.079024247784937,0.9994620070528193,1.8916365051396222
2021-07-22,32144.51,32591.35,31708.0,32287.83,46148.092433,46148.092433,0.0,35224.893937175504,38628.73173117063,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.4973819324090125,0.004458615172544311,0.9994620106794616,1.9838039356065362
2021-07-23,32287.58,33650.0,31924.32,33634.09,50112.863626,50112.863626,0.0,35162.50946905098,38579.03380349729,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.6432073223570187,0.04169558623171632,0.999462014287312,1.9895031447598157
2021-07-24,33634.1,34500.0,33401.14,34258.14,47977.550138,47977.550138,0.0,35127.04399967643,38536.03983530329,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.710803726169844,0.018554091994164246,0.9994620178765171,2.040389096412863
2021-07-25,34261.51,35398.0,33851.12,35381.02,47852.928313,47852.928313,0.0,35137.00384282637,38504.64660311122,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.8324328422876945,0.03277702759110679,0.9994620214472197,2.0637094610012725
2021-07-26,35381.02,40550.0,35205.78,37237.6,152452.512724,152452.512724,0.0,35219.38016271554,38492.03917422454,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.033535528596187,0.05247389702162342,0.9994620249995658,2.1041113228795743
2021-07-27,37241.33,39542.61,36383.0,39457.87,88397.267015,88397.267015,0.0,35385.59545045219,38501.64943119743,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.274032712305026,0.05962441188476175,0.9994620285336948,2.1668954085247387
2021-07-28,39456.61,40900.0,38772.0,40019.56,101344.528441,101344.528441,0.0,35567.319550434455,38516.75301894671,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.334874350086655,0.014235182993912021,0.9994620320497454,2.237218386123815
2021-07-29,40019.57,40640.0,39200.0,40016.48,53998.439283,53998.439283,0.0,35741.796430809576,38531.6756754746,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.3345407279029464,-7.696236540322143e-05,0.9994620355478578,2.2551148485387658
2021-07-30,40018.49,42316.71,38313.23,42206.37,73602.784805,73602.784805,0.0,35995.309119797435,38568.2397981067,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.571747183708839,0.054724703422190046,0.9994620390281674,2.2549861091083603
2021-07-31,42206.36,42448.0,41000.15,41461.83,44849.791012,44849.791012,0.0,36209.68248764852,38597.031740414095,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,3.491099436741768,-0.01764046517148954,0.999462042490811,2.319718580562491
