date,open,high,low,close,volume,market_cap,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2020-10-06,353.63,355.1,336.8,340.75,640063.26951,640063.26951,0.0,370.3524,459.13849999999996,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.1592421266079462,-0.036395000282789414,0.99757781143313,1.7454877980749375
2020-10-07,340.8,342.85,332.18,341.58,541928.86376,541928.86376,0.0,370.60900000000004,464.17195,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.164501615867182,0.0024358033749083408,0.9975778867552295,1.674371633970597
2020-10-08,341.58,353.32,334.21,350.95,631794.8756,631794.8756,0.0,370.7868,468.87494999999996,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.2238768138901208,0.027431348439604264,0.9975779612404371,1.6788025357297476
2020-10-09,350.94,368.33,347.32,365.02,650478.19338,650478.19338,0.0,371.11879999999996,473.8861,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.3130346619352384,0.04009118107992582,0.9975780349026176,1.7272417300400866
2020-10-10,365.01,378.4,364.71,370.52,591005.32129,591005.32129,0.0,371.334,478.89340000000004,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.3478866991952345,0.015067667525067163,0.9975781077553414,1.7964478273198863
2020-10-11,370.51,377.6,368.87,374.16,373318.23779,373318.23779,0.0,372.10259999999994,484.05334999999997,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.370952411127305,0.009824031091439256,0.9975781798118747,1.8234927563645533
2020-10-12,374.17,394.8,365.58,386.51,844422.65444,844422.65444,0.0,373.1342000000001,489.7558,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.4492110766111146,0.03300726961727585,0.9975782510852018,1.8412572695190608
2020-10-13,386.51,387.75,374.51,381.04,645141.91394,645141.91394,0.0,374.46520000000004,495.4949,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.4145491413725366,-0.014152285839952317,0.9975783215880198,1.8987148775156455
2020-10-14,381.05,387.41,373.13,378.69,569557.82936,569557.82936,0.0,375.4816,499.9119,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.3996578163614473,-0.006167331513751928,0.9975783913327585,1.8719393766995787
2020-10-15,378.69,381.79,369.85,377.64,634038.09453,634038.09453,0.0,376.86260000000004,504.86699999999996,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.3930042456118115,-0.002772716469935821,0.9975784603315778,1.8603992894349486
