date,open,high,low,close,volume,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2020-12-14,619.0,642.7499,610.2001,639.83,52040649.0,0.0,479.3324,820.6398999999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.42853442655162866,0.04891883473499581,-1.0000000000000009,0.2723740368687564
2020-12-15,643.28,646.9,623.8,633.25,45223559.0,0.0,483.4838,820.0786,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.434411368041228,-0.010283981682634558,-0.9999999999999998,0.32328196710824564
2020-12-16,628.23,632.5,605.0,622.77,42095813.0,0.0,487.6596,819.4449500000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.4437716031188876,-0.01654954599289382,-0.9999999999999992,0.3124965104709126
2020-12-17,628.19,658.82,619.5,655.9,56270144.0,0.0,492.27160000000003,819.10175,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.414181470664416,0.053197809785314076,-1.0000000000000004,0.2951201913785234
2020-12-18,668.9,695.0,628.54,695.0,222126194.0,0.0,497.65319999999997,819.05935,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.3792592195636059,0.059612745845403214,-0.9999999999999986,0.35032881400991145
2020-12-21,666.24,668.5,646.07,649.86,58045264.0,0.0,501.9703999999999,819.2686499999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.41957610996489914,-0.06494964028776973,-1.0000000000000007,0.4119388376119072
2020-12-22,648.0,649.88,614.23,640.34,51861644.0,0.0,505.93119999999993,819.2437,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.42807891892857464,-0.014649309081956052,-0.9999999999999989,0.34329786741600987
2020-12-23,632.2,651.4999,622.5701,645.98,33172972.0,0.0,509.9178,819.3024499999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.4230415405089182,0.008807820845176062,-1.000000000000001,0.32800505259580387
2020-12-24,642.99,666.09,641.0,661.77,22865568.0,0.0,513.9272,819.80855,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.40893866723828415,0.024443481222328867,-1.000000000000001,0.33717731717246185
2020-12-28,674.51,681.4,660.8,663.69,31553561.0,0.0,518.2234000000001,820.3939,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.4072238150103159,0.0029013101228525517,-1.0000000000000013,0.3625392989627246
2020-12-29,661.0,669.9,655.0,665.99,22910811.0,0.0,522.7497999999999,821.4985,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.40516956494556244,0.0034654733384560377,-0.9999999999999984,0.3655705038930618
2020-12-30,672.0,696.6,668.3603,694.78,42846021.0,0.0,528.0288,822.8214,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.3794557130480606,0.04322887731047009,-0.9999999999999994,0.36918877836514163
2020-12-31,699.99,718.72,691.12,705.67,49649928.0,0.0,533.7034,824.54365,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.3697292855675537,0.015674026310486644,-0.999999999999999,0.4138259948185976
2021-01-04,719.46,744.4899,717.1895,729.77,48638189.0,0.0,539.846,826.0543000000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.3482043174977449,0.034151940708829986,-0.9999999999999993,0.4301014664329773
2021-01-05,723.66,740.84,719.2,735.11,32245165.0,0.0,546.0323999999999,827.5922,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.34343488473870837,0.007317373967140384,-1.000000000000001,0.4653863232431095
2021-01-06,758.49,774.0,749.1,755.98,44699965.0,0.0,552.7394,829.20065,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.3247947982815752,0.02839030893335681,-1.000000000000002,0.4730016521042506
2021-01-07,777.63,816.99,775.2,816.04,51498948.0,0.0,560.6546,830.75585,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.271152077025446,0.07944654620492608,-0.9999999999999982,0.5023549619113021
2021-01-08,856.0,884.49,838.39,880.02,75055528.0,0.0,569.7614000000001,832.4597,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.21400819913721505,0.07840301945983041,-1.0000000000000004,0.58311330214172
2021-01-11,849.4,854.43,803.6222,811.19,59554146.0,0.0,577.8648000000001,833.87485,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.2754838652054697,-0.0782141314970114,-1.0000000000000004,0.6623937845467956
2021-01-12,831.0,868.0,827.34,849.44,45985569.0,0.0,586.637,835.5502500000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.24132079347641633,0.047152948137920925,-1.0,0.579502243001303
2021-01-13,852.76,860.47,832.0,854.41,33312496.0,0.0,595.9644,837.3116500000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.23688182703214464,0.005850913543040015,-1.0000000000000018,0.6274306215173167
2021-01-14,843.39,863.0,838.75,845.0,31266327.0,0.0,604.8542,838.9166500000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.24528638925359278,-0.01101344787631231,-0.9999999999999987,0.633462677123856
2021-01-15,852.0,859.9,819.1,826.16,38777596.0,0.0,612.8993999999999,840.63965,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.2621133767405305,-0.02229585798816569,-1.000000000000002,0.6220769389695137
