date,close,VWAP,signal,positions
2022-02-08 11:20:00,173.5699,172.1642,1.0,0.0
2022-02-08 11:25:00,173.495,172.1995,1.0,0.0
2022-02-08 11:30:00,173.66,172.2343,1.0,0.0
2022-02-08 11:35:00,174.005,172.3314,1.0,0.0
2022-02-08 11:40:00,174.01,172.3935,1.0,0.0
2022-02-08 11:45:00,174.045,172.4357,1.0,0.0
2022-02-08 11:50:00,173.95,172.4703,1.0,0.0
2022-02-08 11:55:00,173.925,172.5087,1.0,0.0
2022-02-08 12:00:00,173.875,172.5307,1.0,0.0
2022-02-08 12:05:00,173.88,172.5675,1.0,0.0
2022-02-08 12:10:00,173.84,172.5976,1.0,0.0
2022-02-08 12:15:00,174.03,172.6345,1.0,0.0
2022-02-08 12:20:00,174.435,172.6824,1.0,0.0
2022-02-08 12:25:00,174.58,172.7494,1.0,0.0
2022-02-08 12:30:00,174.8,172.7993,1.0,0.0
2022-02-08 12:35:00,174.9991,172.8765,1.0,0.0
2022-02-08 12:40:00,175.17,172.9305,1.0,0.0
2022-02-08 12:45:00,175.075,172.9788,1.0,0.0
2022-02-08 12:50:00,174.855,173.0217,1.0,0.0
2022-02-08 12:55:00,174.865,173.0517,1.0,0.0
2022-02-08 13:00:00,174.65,173.0733,1.0,0.0
2022-02-08 13:05:00,174.58,173.092,1.0,0.0
2022-02-08 13:10:00,174.65,173.1122,1.0,0.0
2022-02-08 13:15:00,174.755,173.1338,1.0,0.0
2022-02-08 13:20:00,174.445,173.1587,1.0,0.0
2022-02-08 13:25:00,174.54,173.1718,1.0,0.0
2022-02-08 13:30:00,174.3299,173.1899,1.0,0.0
2022-02-08 13:35:00,174.545,173.2134,1.0,0.0
2022-02-08 13:40:00,174.45,173.2304,1.0,0.0
2022-02-08 13:45:00,174.285,173.2464,1.0,0.0
2022-02-08 13:50:00,174.49,173.2593,1.0,0.0
2022-02-08 13:55:00,174.3759,173.2703,1.0,0.0
2022-02-08 14:00:00,174.5852,173.2843,1.0,0.0
2022-02-08 14:05:00,174.8,173.3001,1.0,0.0
2022-02-08 14:10:00,174.6776,173.3153,1.0,0.0
2022-02-08 14:15:00,174.549,173.3247,1.0,0.0
2022-02-08 14:20:00,174.435,173.3357,1.0,0.0
2022-02-08 14:25:00,174.2923,173.3505,1.0,0.0
2022-02-08 14:30:00,174.06,173.3632,1.0,0.0
2022-02-08 14:35:00,174.2801,173.3724,1.0,0.0
2022-02-08 14:40:00,173.84,173.3819,1.0,0.0
2022-02-08 14:45:00,173.985,173.3879,1.0,0.0
2022-02-08 14:50:00,173.8978,173.3933,1.0,0.0
2022-02-08 14:55:00,174.0812,173.3995,1.0,0.0
2022-02-08 15:00:00,173.94,173.4048,1.0,0.0
2022-02-08 15:05:00,174.0667,173.4114,1.0,0.0
2022-02-08 15:10:00,174.27,173.4205,1.0,0.0
2022-02-08 15:15:00,174.805,173.4426,1.0,0.0
