Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
ATOM,WAN,0.0,1024.2285012147204,0
ATOM,WAVES,inf,2607.41182657099,0
ATOM,WTC,inf,1403.412046617997,0
ATOM,XLM,0.0,326.6385170911547,0
ATOM,XMR,0.0,1435.7375565049585,0
ATOM,XRP,inf,2130.045223085855,0
ATOM,XTZ,inf,3626.651024365992,0
ATOM,ZEC,inf,2068.4559604650685,0
ATOM,ZIL,0.0,80740.0950023969,0
ATOM,ZRX,0.0,316.6943794848205,0
BAND,BAT,inf,49304.9439519989,0
BAND,BCH,37505757.68926706,59222.30989871258,0
BAND,BNB,16701032.662234308,28427.085722958276,0
BAND,BNT,8611695.51314062,20621.986401841063,0
BAND,BTC,inf,40655.255182354886,0
BAND,BTS,35741562.53085795,51456.32067097688,0
BAND,BTT,inf,38569.241294388885,0
BAND,BUSD,39052460.32836974,66185.25918108039,0
BAND,CTXC,38076939.70554969,57547.86210144036,0
BAND,CVC,inf,18792.311093005163,0
BAND,DASH,38243947.05298926,59072.80177837002,0
BAND,DATA,38235760.49455376,58542.616744318635,0
BAND,DENT,2771513792.0618205,249308.18708998256,0
BAND,DOGE,inf,171927.04226656002,0
BAND,ENJ,inf,33185.75813399775,0
BAND,EOS,38371261.9003946,62610.22109468392,0
BAND,ETC,37341645.6685473,58697.33644381867,0
BAND,ETH,inf,31802.56095324782,0
BAND,FTT,904792886.6485578,31883.840712681973,0
BAND,FUN,11259974142.160372,18477.98646899303,0
BAND,GTO,inf,38850.80469987613,0
BAND,HBAR,34793638.68403832,45508.281808002226,0
BAND,ICX,inf,40063.0710058673,0
BAND,IOST,inf,27242.71317252366,0
BAND,IOTA,inf,37407.81158413516,0
BAND,IOTX,inf,23953.60486318162,0
BAND,LINK,11824483.91934014,33713.23796583543,0
BAND,LSK,31274553.448576834,54311.44822393956,0
BAND,LTC,19373942.996241644,49531.827813732765,0
BAND,MATIC,17304237.21668768,29361.93488007169,0
BAND,MITH,273039219.8843994,34000.077327223975,0
BAND,NANO,inf,34644.93447108743,0
BAND,NEO,inf,42994.136059474324,0
BAND,NULS,25905991.68326377,51664.32810415373,0
BAND,OMG,inf,21925.610546064832,0
BAND,ONT,21099811.283036307,55847.3649447823,0
BAND,QTUM,inf,44657.12773229663,0
BAND,RLC,inf,35800.607383588474,0
BAND,STX,13911520.708038868,28358.693801006426,0
BAND,THETA,inf,442562.82178210444,0
BAND,TRX,inf,46257.80739985436,0
BAND,TUSD,39088280.99989026,66187.91235465134,0
BAND,VET,inf,26814.4916898257,0
BAND,WAN,inf,35525.683870328256,0
BAND,WAVES,22926749.449488804,26206.61613970071,0
BAND,WTC,36851568.0689587,51789.527925566,0
BAND,XLM,inf,38600.0725461947,0
BAND,XMR,inf,51008.62421753052,0
BAND,XRP,34791816.37154841,54070.89856331108,0
BAND,XTZ,38641925.18490466,61880.400005228,0
BAND,ZEC,36911680.510550685,54940.04690414441,0
BAND,ZIL,inf,29898.591397356373,0
BAND,ZRX,inf,34860.625668931854,0
BAT,BCH,inf,991.6347814648693,0
BAT,BNB,inf,17450.5262810975,0
BAT,BNT,inf,69353.85841732904,0
BAT,BTC,0.0,1020.1722657365519,0
BAT,BTS,inf,146.51987368973124,0
BAT,BTT,0.0,19886.69506412844,0
BAT,BUSD,inf,2031.4802393970112,0
BAT,CTXC,inf,557.6264179775872,0
BAT,CVC,0.0,30866.473724892545,0
BAT,DASH,inf,855.3336500360102,0
BAT,DATA,inf,649.418895025556,0
BAT,DENT,inf,334156.5327633615,0
BAT,DOGE,0.0,236211.71679200456,0
BAT,ENJ,0.0,11332.816275932691,0
BAT,EOS,inf,1362.2137141368369,0
BAT,ETC,inf,788.2565851730624,0
BAT,ETH,0.0,3069.0693803684303,0
BAT,FTT,inf,5257.729449324957,0
BAT,FUN,inf,22851.41832016205,0
BAT,GTO,0.0,3227.1294372919087,0
BAT,HBAR,inf,529.0387702083525,0
BAT,ICX,0.0,807.7821394485458,0
BAT,IOST,0.0,8017.070783371312,0
BAT,IOTA,0.0,1356.7004442260218,0
BAT,IOTX,0.0,8409.222015148414,0
BAT,LINK,inf,1926.186857290639,0
BAT,LSK,inf,256.71059304628034,0
BAT,LTC,inf,441.02014343851835,0
BAT,MATIC,inf,25037.579177539545,0
BAT,MITH,inf,16939.790297204672,0
BAT,NANO,0.0,2892.148266746558,0
BAT,NEO,0.0,568.191657831973,0
BAT,NULS,inf,211.84261004136403,0
BAT,OMG,0.0,6866.463778102985,0
BAT,ONT,inf,532.0504708160958,0
BAT,QTUM,0.0,374.40002139457965,0
BAT,RLC,0.0,1477.2515381795772,0
BAT,STX,inf,7182.518742201407,0
BAT,THETA,0.0,639410.2089863434,0
BAT,TRX,0.0,288.86316107520497,0
BAT,TUSD,inf,2031.8204682746473,0
BAT,VET,0.0,38522.56430279262,0
BAT,WAN,0.0,1802.5506670955574,0
BAT,WAVES,inf,5589.165809237304,0
BAT,WTC,inf,109.15074523756435,0
BAT,XLM,0.0,1372.4328584402133,0
BAT,XMR,0.0,446.4676724590489,0
BAT,XRP,inf,538.0947521639087,0
BAT,XTZ,inf,1273.518234988411,0
BAT,ZEC,inf,517.8399230397199,0
BAT,ZIL,0.0,95006.23454833376,0
BAT,ZRX,0.0,1700.3595270031192,0
BCH,BNB,17851093.549371287,25615.003467918814,0
BCH,BNT,27574787.238152508,84605.32871010978,0
BCH,BTC,inf,2428.8996290207515,0
BCH,BTS,42159.37963381499,556.5889374756761,0
BCH,BTT,inf,28275.8614364054,0
BCH,BUSD,22505.244516841813,271.2717506139887,0
BCH,CTXC,6469.4575304921445,138.42553070436293,0
BCH,CVC,inf,41049.13845493248,0
BCH,DASH,5543.36504447425,35.14663125194814,0
BCH,DATA,7990.8927626581535,129.85938061957222,0
BCH,DENT,3161745103.578199,368189.31351302436,0
BCH,DOGE,inf,256503.88574053088,0
BCH,ENJ,inf,18699.403357837047,0
BCH,EOS,8076.51103613427,82.8724578006252,0
BCH,ETC,6780.944646351414,74.86709681316364,0
BCH,ETH,inf,5781.601185008493,0
